renderedContent,pre_processed,label_sentiment,probability_sentiment,label_emotion,probability_emotion,label_irony,probability_irony,
&amp; you soft as hell if you gon hate on somebody for trying to help people battling depression. Get out my face with that stupid ass shit. Just because I wanna make a change &amp; save life’s don’t mean you gotta hate period. Keep it to yourself nigga,amp soft hell gon hate somebody trying help people battling depression get face stupid ass shit wanna make change amp save lifes dont mean gotta hate period keep nigga,negative,0.944642127,anger,0.87486887,non_irony,0.812096834,
"Movies /Commercials /Talking to people /TV /Thinking how much I love my friends/family /the cruelty/unfairness / hate of people towards others/animals

When haven’t I? Hormones/depression/anxiety/happiness. Goodness, everything makes me cry (lol). I let it out to help heal myself twitter.com/blackladyblue/…",movies commercials talking people thinking much love friends family cruelty unfairness hate people towards others animals havent hormones depression anxiety happiness goodness everything makes cry lol let help heal,negative,0.807472289,sadness,0.968146384,irony,0.621353686,
i hate when i’m having a good time and my depression kicks in,hate good time depression kicks,negative,0.710358858,sadness,0.979043067,irony,0.9776842,
"@PoRiverJamBand I really really hate the mentality in this vid. It's perhaps a less serious thing,  but it took forever for me to find a doctor who  would take my depression seriously because they all wanted to blame my lack of energy on my weight.",really really hate mentality vid perhaps less serious thing took forever find doctor would take depression seriously wanted blame lack energy weight,negative,0.94535929,sadness,0.949988365,non_irony,0.789924622,
I hate being a loner. And my depression makes me want to isolate myself from everyone. And it’s just an endless cycle of pain. Cause I’m a social butterfly but I feel very odd around people but I don’t wanna be in my house 24/7 so idk what to do.,hate loner depression makes want isolate everyone endless cycle pain cause social butterfly feel odd around people dont wanna house idk,negative,0.917061031,sadness,0.969747782,non_irony,0.726761341,
@ardentlykeith I’m just nervous about what he’s going to say. I thought I had a handle on my depression and ptsd and I would hate for them to be back worse than before.,nervous hes going say thought handle depression ptsd would hate back worse,negative,0.879138529,sadness,0.948569775,non_irony,0.796455443,
I’m so tired of DEPRESSION and POVERTY this shit is TOO MUCH I officially HATE IT HERE I’m selling my soul y’all,tired depression poverty shit much officially hate selling soul yall,negative,0.978760421,sadness,0.931577504,non_irony,0.795095921,
why is my depression so easily seen through my eyes I hate it,depression easily seen eyes hate,negative,0.899896145,sadness,0.946471572,irony,0.622596741,
"@IWriteAllDay_ As someone who suffers from severe depression, best believe I'm taking being alive as a fuckin win. 

I hate when people try to swerve out of their lane. Either keep up and stay their dumbasses in the ""keep my fuckery to myself"" lane",someone suffers severe depression best believe taking alive fuckin win hate people try swerve lane either keep stay dumbasses keep fuckery lane,negative,0.971691132,anger,0.895123303,non_irony,0.757205129,
I wish I wasn't trans. I hate dealing with dysphoria. It's best  friends with my anxiety and depression.,wish trans hate dealing dysphoria best friends anxiety depression,negative,0.91133219,sadness,0.939369619,irony,0.862528086,
Woke up like “wow I hate myself!?!?” And then I had to laugh like oh my seasonal depression had to wait til after the solstice??? Witchy ass moody ass cancer ass winter,woke like wow hate laugh like seasonal depression wait til solstice witchy ass moody ass cancer ass winter,negative,0.964299262,sadness,0.930806041,non_irony,0.708835661,
"@cmclymer I have come to hate the month of December - holidays AND my birthday right between Christmas and New years. I miss the sun. I cannot fight off my demons. And I'm expected to be happy and festive. My life's good too, but seasonal depression is a monster.",come hate month december holidays birthday right christmas new years miss sun cannot fight demons expected happy festive life good seasonal depression monster,negative,0.507600248,joy,0.586353302,irony,0.603054106,
"This decade I: 
Hiked the Milford
Learned to spin
Started a craft business
Learned l hate retail, love code
Gave birth
Quit day job
Was a SAHM
Graduated from Dev Bootcamp
Baked my way through depression - bread, pastry, caramels, macarons.
Traveled a bunch
Started a new career",decade hiked milford learned spin started craft business learned hate retail love code gave birth quit day job sahm graduated dev bootcamp baked way depression bread pastry caramels macarons traveled bunch started new career,neutral,0.63810122,joy,0.729050517,non_irony,0.822249413,
@dauntingful Legit this exact same thing is happening to me. Like depression honestly makes me feel like my friends hate me and don't care about me but I know who the real people actually care about me 😊.,legit exact thing happening like depression honestly makes feel like friends hate care know real people actually care,negative,0.528849304,sadness,0.967688501,irony,0.771008551,
"@AlanCaryLiddell @neil6701 @CNN I've spent a great deal of my career trying to help people, with depression, anxiety disorders, bipolar disorder etc. The reason social workers and councelers have such burnout is, and I hate to say this, but some people are beyond your help. At least my help. Good talk.",spent great deal career trying help people depression anxiety disorders bipolar disorder etc reason social workers councelers burnout hate say people beyond help least help good talk,neutral,0.481167912,sadness,0.903926909,irony,0.816194654,
"I really hate when my anxiety and depression hits me out of nowhere, I’m happy and grateful for the people in my life but it sucks and hurts so much looking back missing the people I had in my life before they disappeared",really hate anxiety depression hits nowhere happy grateful people life sucks hurts much looking back missing people life disappeared,negative,0.97810024,sadness,0.974992454,non_irony,0.831048429,
"god i fucking hate how upset i am still over tros like i know its just a movie, but i was rlly just looking forward to it for 2 yrs just for it fuck me up this badly on top of my already severe depression, thanks jj!",god fucking hate upset still tros like know movie rlly looking forward yrs fuck badly top already severe depression thanks,negative,0.973223448,anger,0.601261914,non_irony,0.660892308,
I hate the random spurts of depression where i just wanna lay in my bed and cry for hours,hate random spurts depression wanna lay bed cry hours,negative,0.954001486,sadness,0.980179071,non_irony,0.760682166,
being home for break and I’ve fallen into my high school-style of depression. i hate it here I want to go back to college.,home break ive fallen high school style depression hate want back college,negative,0.950233936,sadness,0.980882704,non_irony,0.691274047,
my depression makes me feel so worthless and lazy. most of the time i contribute nothing to this house besides money from work and i only work bc i HAVE to. i have to force myself up just to clean the smallest bit and do laundry. i hate myself,depression makes feel worthless lazy time contribute nothing house besides money work work force clean smallest bit laundry hate,negative,0.933812141,sadness,0.969177067,non_irony,0.645473123,
I know how you feel cause depression and anxiety kick my ass a lot and I absolutely hate it. twitter.com/NStoolfire/sta…,know feel cause depression anxiety kick ass lot absolutely hate,negative,0.970682263,sadness,0.752717197,irony,0.594670773,
"bro my room is so Gross, i hate depression",bro room gross hate depression,negative,0.978840232,sadness,0.645671129,non_irony,0.588800967,
"me: i hate talking about my emotions

also me: *tweets about depression and every mishap that happens in my family because they’re all immensely flawed except for my dad i love you dad*",hate talking emotions also tweets depression every mishap happens family theyre immensely flawed except dad love dad,negative,0.925787747,sadness,0.926946402,irony,0.524269879,
"I’m not sure if I hate Binghamton or I just hate I’m not in Los Angeles. Wait. I hate Binghamton. Growing up, I could not wait to get out of here and it’s far more depressing now than it was then. My productivity level drops while I’m here bc I have to flight depression all day!",sure hate binghamton hate los angeles wait hate binghamton growing could wait get far depressing productivity level drops flight depression day,negative,0.976104259,sadness,0.862271547,non_irony,0.72233367,
"hate to be a downer on the main but fr 2019 was the worst year ive ever had. i lost 4 of my best friends, my depression only worsened, i began feeling s*icidal...im v grateful for all the amazing experiences &amp; ppl that helped me through but im v ready to leave 2019 in the past :(",hate downer main worst year ive ever lost best friends depression worsened began feeling icidal grateful amazing experiences amp ppl helped ready leave past,negative,0.457273275,sadness,0.969527245,non_irony,0.901880383,
"2018: depression + got my heart broken + more depression 

2019: crippling anxiety + crippled myself/destroyed my knee + more depression

2020: keep this shit up and im fucking off to a deserted island forever

i hate it here",depression got heart broken depression crippling anxiety crippled destroyed knee depression keep shit fucking deserted island forever hate,negative,0.979999363,sadness,0.866129279,non_irony,0.781914294,
"@AidenHatfield I am ashamed of my depression, I am ashamed of my anxiety, because it’s crippling me, can’t go out because my mind and fucking paranoia sees hate in everyone’s eyes! &amp; like the song says they drugs don’t work!’ Thank god for therapy or I would be in a psych ward!",ashamed depression ashamed anxiety crippling cant mind fucking paranoia sees hate everyones eyes amp like song says drugs dont work thank god therapy would psych ward,negative,0.973015547,sadness,0.944876134,non_irony,0.595222294,
"The negative stuff:
- My brother suffers from depression, he was in a psychatrie for weeks and everyone at home was down, I had to be the tough guy in that time. My brother tried to kill himself.
- I lost friends this year and I hate it but people come and go unfortunately.",negative stuff brother suffers depression psychatrie weeks everyone home tough guy time brother tried kill lost friends year hate people come unfortunately,negative,0.954654694,sadness,0.971880913,non_irony,0.772430122,
I hate global warming as much as any educated human but this 70 degree weather is doing wonders for my seasonal depression,hate global warming much educated human degree weather wonders seasonal depression,negative,0.671336532,sadness,0.937579393,irony,0.917304754,
@Mike_Earwicker That’s why I hate depression. It says my joy out of anything. Those audial escapes I hope for don’t work. Luckily I was able to build the LEGO set over a few days. I had to do it in sessions. My wife got me to play a game last night. I enjoyed the time I did play. I appreciate it,thats hate depression says joy anything audial escapes hope dont work luckily able build lego set days sessions wife got play game last night enjoyed time play appreciate,positive,0.714215696,sadness,0.745641768,non_irony,0.665849924,
@Rozkez67 Lose the weight I gained recently through depression &amp; pray something awful happens to the lump of lard as they say karma is a bitch well can she please do her worse then as I hate that man &amp; what he is doing to my country.,lose weight gained recently depression amp pray something awful happens lump lard say karma bitch well please worse hate man amp country,negative,0.913821459,anger,0.673789442,non_irony,0.799508154,
"Jesus. I despise Instagram. Never have I hated an app more than I hate that app. And no, it doesn’t have anything to do with my seasonal depression. Fuck off.",jesus despise instagram never hated app hate app doesnt anything seasonal depression fuck,negative,0.981810212,anger,0.903246164,non_irony,0.833960116,
TW: 2011: Still in school. Still hate it. Develop severe depression and make attempts on my life.,still school still hate develop severe depression make attempts life,negative,0.942323387,sadness,0.974141836,non_irony,0.633484244,
"I think I am very lucky that I don't possess suicidal thoughts anymore, and that I have enough self-esteem to not actively hate myself, and I don't tend to lash out in anger. 

On the screening for anxiety and depression, my symptoms are always mild or ""okay"" and I think...",think lucky possess suicidal thoughts anymore enough self esteem actively hate tend lash anger screening anxiety depression symptoms always mild okay think,negative,0.67528981,sadness,0.944580376,non_irony,0.609039247,
"Well I done it, I could not take it anymore my Christmas Tree 🎄 has been taken down. Christmas is difficult for me being alone and both parents dead, so the tree 🎄 had to go. I Hate Christmas time always plays to my depression",well done could take anymore christmas tree taken christmas difficult alone parents dead tree hate christmas time always plays depression,negative,0.834621906,sadness,0.979776025,non_irony,0.904392123,
"As for my mental health which can sometimes be a taboo subject. I suffer from PTSD and anxiety, I hate to say depression too but sadly I do suffer from it. In real life I hide it very well, I laugh and smile a lot and wear bright clothes which is all my armour to protect me.",mental health sometimes taboo subject suffer ptsd anxiety hate say depression sadly suffer real life hide well laugh smile lot wear bright clothes armour protect,negative,0.593008101,sadness,0.933012307,non_irony,0.506967306,
"@jetgreguar coincidences. But they kept comming. So, one month ago, i told my sister about my suspicions that i may be ADHD and she told me about hers. Now, i'm serious about mental problems, as someone who's been through Depression and Anxiety and HATE to hear people use them like they're",coincidences kept comming one month ago told sister suspicions may adhd told serious mental problems someone depression anxiety hate hear people use like,negative,0.899637222,sadness,0.894778013,non_irony,0.705380261,
I hate leaving my hometown and family. Moving away from home and from college. The friends that I have. That’s the type of post graduate depression no one talks about.,hate leaving hometown family moving away home college friends thats type post graduate depression one talks,negative,0.881329715,sadness,0.958296776,non_irony,0.73496139,
"#DataMustFall Having some terrible pains in my heart, could that be a sign of a stroke🤔been stressing a lot lately, depression be dealing with me accordingly, being unemployed has killed me and will be homeless tomorrow😭 oh God my life is just mess I just hate it💔💔😭",#datamustfall terrible pains heart could sign strokebeen stressing lot lately depression dealing accordingly unemployed killed homeless tomorrow god life mess hate,negative,0.962373674,sadness,0.968848586,non_irony,0.922154248,
I hate when depression kicks my ass so bad that I can’t get out of bed,hate depression kicks ass bad cant get bed,negative,0.971559584,sadness,0.917814374,non_irony,0.716416299,
@Garrett_Watts I don't take too many pictures cus i just overall hate myself but this was from a year ago after i had gotten a hair cut. I was feeling good and that doesnt happen often with my anxiety and depression its not the best picture but i hope to work on loving myself in 2020 even a lil https://t.co/DtPQRrckfV,take many pictures cus overall hate year ago gotten hair cut feeling good doesnt happen often anxiety depression best picture hope work loving even lil,positive,0.607730806,sadness,0.979105592,non_irony,0.637983084,
My depression/anxiety medication be having me so damn numb to shit it’s ridiculous 😭 this is why i smoke weed instead of taking this shit. I hate feeling like this,depression anxiety medication damn numb shit ridiculous smoke weed instead taking shit hate feeling like,negative,0.974485815,sadness,0.889635801,non_irony,0.573660076,
